Entity,Code,Year,Temperature anomaly
Italy,ITA,1931,-2.7845698
Italy,ITA,1932,-2.7624848
Italy,ITA,1933,-2.5987463
Italy,ITA,1934,-2.625348
Italy,ITA,1935,-2.6853219
Italy,ITA,1936,-2.5947232
Italy,ITA,1937,-2.6025047
Italy,ITA,1938,-2.6450789
Italy,ITA,1939,-2.5931840
Italy,ITA,1940,-2.5849578
Italy,ITA,1941,-2.2394617
Italy,ITA,1942,-1.6015245
Italy,ITA,1943,-0.68436956
Italy,ITA,1944,-1.7172923
Italy,ITA,1945,-1.0461869
Italy,ITA,1946,-0.9135267
Italy,ITA,1947,-0.7728694
Italy,ITA,1948,-1.3900079
Italy,ITA,1949,-0.94347125
Italy,ITA,1950,-0.3565096
Italy,ITA,1951,-0.8800935
Italy,ITA,1952,-0.6002374
Italy,ITA,1953,-0.82996845
Italy,ITA,1954,-1.4320151
Italy,ITA,1955,-0.733891
Italy,ITA,1956,-1.7823014
Italy,ITA,1957,-0.91531944
Italy,ITA,1958,-0.76792747
Italy,ITA,1959,-0.7772677
Italy,ITA,1960,-0.7025865
Italy,ITA,1961,-0.12029272
Italy,ITA,1962,-1.0787617
Italy,ITA,1963,-1.5097189
Italy,ITA,1964,-1.0456147
Italy,ITA,1965,-1.534463
Italy,ITA,1966,-1.0101975
Italy,ITA,1967,-0.88566226
Italy,ITA,1968,-1.128141
Italy,ITA,1969,-1.3224866
Italy,ITA,1970,-1.0558821
Italy,ITA,1971,-1.1586137
Italy,ITA,1972,-1.2482611
Italy,ITA,1973,-1.0768538
Italy,ITA,1974,-1.1038032
Italy,ITA,1975,-1.0010804
Italy,ITA,1976,-1.3982786
Italy,ITA,1977,-0.8182742
Italy,ITA,1978,-1.5358604
Italy,ITA,1979,-1.183848
Italy,ITA,1980,-1.7445544
Italy,ITA,1981,-1.2128781
Italy,ITA,1982,-0.56507534
Italy,ITA,1983,-0.86006576
Italy,ITA,1984,-1.561297
Italy,ITA,1985,-0.98122215
Italy,ITA,1986,-0.95156103
Italy,ITA,1987,-0.8167696
Italy,ITA,1988,-0.4837077
Italy,ITA,1989,-0.79373574
Italy,ITA,1990,-0.4302934
Italy,ITA,1991,-1.2764713
Italy,ITA,1992,-0.551766
Italy,ITA,1993,-0.613472
Italy,ITA,1994,0.3195524
Italy,ITA,1995,-0.7059576
Italy,ITA,1996,-0.89381814
Italy,ITA,1997,-0.05887528
Italy,ITA,1998,-0.1865182
Italy,ITA,1999,-0.13897051
Italy,ITA,2000,0.2334833
Italy,ITA,2001,0.026538512
Italy,ITA,2002,0.05438604
Italy,ITA,2003,0.2793347
Italy,ITA,2004,-0.27805388
Italy,ITA,2005,-0.8259156
Italy,ITA,2006,-0.086695634
Italy,ITA,2007,0.28594574
Italy,ITA,2008,0.15101667
Italy,ITA,2009,0.15750022
Italy,ITA,2010,-0.5271315
Italy,ITA,2011,0.2830008
Italy,ITA,2012,0.3076685
Italy,ITA,2013,-0.028809706
Italy,ITA,2014,0.62216735
Italy,ITA,2015,0.63729924
Italy,ITA,2016,0.45251444
Italy,ITA,2017,0.40715304
Italy,ITA,2018,0.7174711
Italy,ITA,2019,0.6267247
Italy,ITA,2020,0.6107053
Italy,ITA,2021,0.33716735
Italy,ITA,2022,1.275581
Italy,ITA,2023,1.230895
Italy,ITA,2024,1.3331413
